TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 0.0008946 0.18604 0.239038
2 0.0011196 0.0560698 0.346742
3 0.0001565 0.0389422 0.436131
4 0.000106501 0.0398515 0.526317
5 9.57e-05 0.0340464 0.610625
6 0.000132 0.0306401 0.691728
7 0.000132 0.0267058 0.76892
8 0.0001481 0.0297319 0.848936
9 0.0001326 0.0324164 0.931876
10 0.0001518 0.0273216 1.00953
11 0.0001529 0.026234 1.08627
12 0.0001892 0.04669 1.18353
13 0.0001491 0.0294651 1.26332
14 0.0001492 0.0999188 1.41359
15 0.000167201 0.0255601 1.48952
16 0.0002176 0.0344503 1.57434
17 0.0001276 0.0290016 1.65372
18 0.0016151 0.0369159 1.74265
19 0.0001818 0.0369277 1.83005
20 0.0002083 0.0339914 1.91453
21 0.0002776 0.0335662 1.99875
22 0.0002453 0.0334731 2.08289
23 0.0004062 0.0508692 2.18459
24 0.0002136 0.0334339 2.26866
25 0.0002425 0.0287187 2.34779
26 0.0002499 0.0306095 2.42882
27 0.0002359 0.0259831 2.50527
28 0.0005168 0.0296279 2.58561
29 0.0002151 0.0454055 2.68154
30 0.0004457 0.0450517 2.77731
31 0.0004207 0.0387957 2.86676
32 0.0005207 0.0724324 2.98999
33 0.0002515 0.0374842 3.07787
34 0.0002677 0.0314492 3.1598
35 0.0002817 0.0330639 3.24337
36 0.0002399 0.0329047 3.32676
37 0.0005121 0.0419442 3.41959
38 0.00032 0.0281332 3.49835
39 0.0004866 0.0467351 3.59601
40 0.0003258 0.0266621 3.67335
41 0.0002913 0.0264321 3.75045
42 0.0003312 0.0323248 3.83343
43 0.0003341 0.0277225 3.91173
44 0.0003331 0.0263499 3.98859
45 0.000509 0.0262687 4.06571
46 0.000656601 0.0394775 4.1561
47 0.0008138 0.0471521 4.2543
48 0.0012149 0.0312364 4.33727
49 0.0022156 0.0406443 4.43054
50 0.000412 0.0273615 4.50855
51 0.0008914 0.0518501 4.61169
52 0.0005778 0.035775 4.69829
53 0.0009861 0.0657945 4.81531
54 0.0005144 0.0303735 4.8966
55 0.0004626 0.0262499 4.97363
56 0.0005881 0.0398004 5.06438
57 0.0004904 0.0258731 5.14096
58 0.0010398 0.046723 5.23901
59 0.0012323 0.0457847 5.33649
60 0.0005053 0.0294771 5.4167
61 0.0008508 0.053209 5.52096
62 0.001233 0.0280238 5.60058
63 0.000553601 0.027914 5.67941
64 0.0006358 0.027036 5.75758
65 0.0038801 0.034729 5.84668
66 0.0005669 0.0261933 5.92388
67 0.000728 0.0268472 6.0018
68 0.0007354 0.0306807 6.08355
69 0.0006466 0.0299082 6.16449
70 0.0006689 0.0276027 6.24311
71 0.000647401 0.0261015 6.32021
72 0.0026738 0.0542221 6.42761
73 0.0007297 0.0439804 6.52264
74 0.0014192 0.0410881 6.61549
75 0.0012638 0.0391268 6.70617
76 0.001438 0.0407584 6.79882
77 0.0008299 0.0276392 6.87768
78 0.0008275 0.0278385 6.95667
79 0.0008209 0.028579 7.03639
80 0.0013489 0.0552543 7.14342
81 0.000815 0.0267884 7.22123
82 0.00218 0.055024 7.32872
83 0.0015958 0.0457101 7.42643
84 0.0016364 0.0468183 7.5252
85 0.001094 0.0372502 7.61393
86 0.0010987 0.0372047 7.70239
87 0.000975299 0.0292212 7.78293
88 0.000947899 0.0278148 7.86205
89 0.000969099 0.0259275 7.93911
90 0.000925299 0.0265285 8.01695
91 0.000962799 0.0468518 8.1151
92 0.000867399 0.0265081 8.19269
93 0.0010071 0.0265133 8.27043
94 0.0018274 0.0278369 8.35033
95 0.0020696 0.0449198 8.44751
96 0.0010849 0.0330612 8.53207
97 0.0011905 0.0306199 8.61403
98 0.0011091 0.0282929 8.69381
99 0.0011542 0.0265327 8.77171
100 0.0013756 0.0274485 8.85094
101 0.0013082 0.0295416 8.93194
102 0.0011979 0.0286496 9.01203
103 0.0012082 0.0271448 9.09071
104 0.0013662 0.0309014 9.17326
105 0.0012737 0.0266912 9.25158
106 0.0028776 0.0432324 9.34809
107 0.0017112 0.0370963 9.43724
108 0.00362539 0.0589505 9.55019
109 0.00382209 0.0459572 9.6503
110 0.0022675 0.0464646 9.74939
111 0.0019503 0.03187 9.83361
112 0.001621 0.030083 9.91548
113 0.0017154 0.0299078 9.9973
114 0.0016201 0.0289116 10.0781
115 0.0017233 0.02904 10.159
116 0.0016297 0.0283322 10.2393
117 0.001833 0.0983669 10.3897
118 0.0018213 0.0595999 10.5013
119 0.0107049 0.0355058 10.5977
120 0.0022166 0.0353779 10.6855
121 0.0022336 0.0381491 10.7761
122 0.0022304 0.0385179 10.8671
123 0.0024715 0.0371543 10.957
124 0.0026166 0.0344554 11.0443
125 0.0018661 0.0288983 11.1254
126 0.0025152 0.0361565 11.2145
127 0.0026183 0.03261 11.2999
128 0.0022579 0.0328634 11.3854
129 0.00468849 0.041817 11.4822
130 0.0024426 0.0298503 11.5649
131 0.0023103 0.0290077 11.6466
132 0.0025112 0.0291865 11.7285
133 0.0023936 0.030064 11.8111
134 0.0023757 0.029217 11.893
135 0.00505509 0.0416955 11.99
136 0.0023935 0.0323685 12.075
137 0.00345739 0.0368828 12.1656
138 0.00363029 0.036664 12.2561
139 0.0034748 0.0371986 12.3473
140 0.00623689 0.0468807 12.4506
141 0.0028207 0.0289497 12.5327
142 0.0027532 0.0287394 12.6144
143 0.0028169 0.0309684 12.6986
144 0.00557919 0.0436569 12.798
145 0.00557639 0.0409975 12.895
146 0.00317419 0.0302424 12.9786
147 0.00308189 0.0302044 13.0622
148 0.00600289 0.0462605 13.1649
149 0.00378889 0.0291383 13.2481
150 0.0062682 0.0458553 13.3506
151 0.0033508 0.0326864 13.437
152 0.0070807 0.0685163 13.5629
153 0.0030297 0.030715 13.6471
154 0.0033725 0.0350233 13.7357
155 0.0068242 0.0513326 13.8443
156 0.0031096 0.0301908 13.9277
157 0.0030076 0.0280472 14.009
158 0.0031373 0.0307196 14.093
159 0.0033845 0.0387548 14.1854
160 0.0044993 0.0601865 14.3004
161 0.0038604 0.0368344 14.3915
162 0.0040088 0.0367393 14.4825
163 0.0039655 0.0345248 14.5712
164 0.0041857 0.0283406 14.6539
165 0.0052267 0.0312825 14.7408
166 0.007235 0.0415734 14.8399
167 0.0036397 0.029612 14.9235
168 0.0039364 0.0314809 15.0092
169 0.0074884 0.043435 15.1104
170 0.0037248 0.0299413 15.1944
171 0.007494 0.0430598 15.2952
172 0.0048866 0.0374575 15.3877
173 0.0050295 0.0301614 15.4732
174 0.0041908 0.0307136 15.5584
175 0.0044145 0.0314578 15.6445
176 0.0089842 0.0415868 15.7452
177 0.0052348 0.0327774 15.8336
178 0.0142851 0.0325194 15.9307
179 0.0042691 0.0301276 16.0155
180 0.0047741 0.0311605 16.1018
181 0.0132439 0.0630604 16.2285
182 0.0046086 0.0310168 16.3145
183 0.0046898 0.0301092 16.3995
184 0.0045706 0.031065 16.4854
185 0.0057942 0.0318881 16.5734
186 0.0050394 0.0314693 16.6601
187 0.0129876 0.0400987 16.7633
188 0.0048893 0.0380952 16.8567
189 0.0053514 0.0301176 16.9425
190 0.0061827 0.0358932 17.0349
191 0.0067018 0.0330654 17.1249
192 0.0054927 0.0359726 17.2169
193 0.0068629 0.0321107 17.306
194 0.0055016 0.0304395 17.3922
195 0.0057692 0.0312859 17.4795
196 0.007153 0.0309049 17.5678
197 0.0106899 0.0309301 17.6596
198 0.0058187 0.0314391 17.7472
199 0.0176149 0.0338041 17.8489
200 0.0074345 0.0302745 17.937
201 0.0082794 0.0307544 18.0263
202 0.0158208 0.0571325 18.1495
203 0.0076481 0.0318057 18.2392
204 0.0070209 0.0309747 18.3275
205 0.0227401 0.0403319 18.4409
206 0.0066112 0.0314109 18.5292
207 0.0147637 0.0362784 18.6307
208 0.0081983 0.0323703 18.7214
209 0.0086002 0.0329986 18.8133
210 0.0084889 0.0328016 18.9048
211 0.0073322 0.0313144 18.9939
212 0.006979 0.0317939 19.0831
213 0.0096759 0.029794 19.1729
214 0.007225 0.0313922 19.2617
215 0.0069938 0.0309878 19.3501
216 0.007976 0.0322147 19.4406
217 0.007546 0.0336061 19.5322
218 0.0100805 0.0289908 19.6214
219 0.0077402 0.0316881 19.7112
220 0.0072365 0.0315986 19.8004
221 0.0118856 0.031493 19.8941
222 0.0076575 0.0386297 19.9907
223 0.0185106 0.0374338 20.097
224 0.0117705 0.0364099 20.1958
225 0.0076858 0.0324482 20.2862
226 0.0235458 0.0384107 20.3986
227 0.010758 0.0306198 20.4903
228 0.0082006 0.0333529 20.5822
229 0.0121857 0.0337233 20.6783
230 0.0113496 0.0299768 20.7699
231 0.0108969 0.032362 20.8634
232 0.0223882 0.0337744 20.9701
233 0.0100799 0.0315566 21.062
234 0.0111723 0.030497 21.1538
235 0.0109306 0.0329785 21.248
236 0.0218437 0.0368071 21.357
237 0.0101085 0.0333138 21.4508
238 0.0123687 0.033145 21.5466
239 0.0131117 0.0346247 21.6448
240 0.0129128 0.0306506 21.7386
241 0.0102108 0.0351123 21.8344
242 0.0121317 0.0328189 21.9295
243 0.0133447 0.030512 22.0237
244 0.0101023 0.0333571 22.1176
245 0.0138427 0.0333053 22.215
246 0.0266177 0.0311908 22.3231
247 0.0101958 0.0330163 22.4166
248 0.0136986 0.0326516 22.5131
249 0.0145707 0.0312839 22.6093
250 0.0137527 0.0336719 22.7071
251 0.0111396 0.0330558 22.8017
252 0.0141334 0.0334331 22.8996
253 0.0148813 0.0329674 22.9977
254 0.0261607 0.0342836 23.1086
255 0.0267781 0.0361627 23.2217
256 0.0123637 0.0352582 23.3196
257 0.0170785 0.0331392 23.4203
258 0.0144971 0.0340644 23.519
259 0.022899 0.0536609 23.6458
260 0.0195214 0.0349808 23.7506
261 0.0175616 0.0345428 23.853
262 0.0194649 0.0407696 23.9635
263 0.018116 0.034905 24.0667
264 0.0189258 0.0369933 24.1728
265 0.0174098 0.0343868 24.275
266 0.0159895 0.0333633 24.3748
267 0.016166 0.0409188 24.4822
268 0.0166536 0.0339855 24.583
269 0.0259145 0.0326315 24.6919
270 0.0193883 0.0348296 24.7963
271 0.0201823 0.0359244 24.9026
272 0.0230157 0.0352986 25.0112
273 0.0169547 0.03301 25.1114
274 0.01789 0.0339606 25.2134
275 0.0183656 0.0346019 25.3167
276 0.0325766 0.0402776 25.4398
277 0.0206569 0.0349648 25.5458
278 0.0210699 0.0357654 25.653
279 0.0198669 0.0347991 25.7581
280 0.0207642 0.0348379 25.8638
281 0.0241325 0.0331832 25.9714
282 0.0226543 0.0355607 26.0799
283 0.0209707 0.034853 26.1861
284 0.0207977 0.0347391 26.292
285 0.0343186 0.0346453 26.4113
286 0.049822 0.0336319 26.545
287 0.0194054 0.0351963 26.6499
288 0.0244784 0.042421 26.7673
289 0.0177924 0.0356233 26.8709
290 0.0204752 0.035434 26.9771
291 0.0190494 0.0344288 27.0809
292 0.0187464 0.03528 27.1852
293 0.0217044 0.0338753 27.2911
294 0.0191299 0.0351278 27.3958
295 0.0215167 0.0357314 27.5034
296 0.0219849 0.0359175 27.6117
297 0.0334318 0.0355258 27.7309
298 0.0198999 0.0353147 27.8363
299 0.021647 0.0368332 27.9452
300 0.0201577 0.0377348 28.0534
301 0.0212692 0.0371967 28.1623
302 0.0201651 0.0358406 28.2687
303 0.0219204 0.0359355 28.3769
304 0.0373751 0.0390351 28.5035
305 0.0220641 0.0359257 28.6119
306 0.0222491 0.0361807 28.7205
307 0.0224812 0.037904 28.8312
308 0.0215631 0.0367402 28.9399
309 0.0207355 0.0348839 29.0459
310 0.0357497 0.0359832 29.168
311 0.0231979 0.0363317 29.278
312 0.0222611 0.036881 29.3873
313 0.0348321 0.0366583 29.5091
314 0.0368623 0.0571861 29.6533
315 0.0309589 0.0392433 29.7738
316 0.0345473 0.0428138 29.9015
317 0.0280101 0.0434652 30.0233
318 0.0249008 0.0375841 30.1363
319 0.0378635 0.0361174 30.2605
320 0.02275 0.047888 30.3816
321 0.0246256 0.0370291 30.4935
322 0.0386834 0.0366533 30.619
323 0.0252076 0.0369023 30.7314
324 0.0324117 0.045906 30.8601
325 0.0245067 0.0396254 30.9746
326 0.023826 0.0372545 31.086
327 0.0399612 0.0385162 31.2147
328 0.0248282 0.0376586 31.3275
329 0.0234003 0.0409926 31.4421
330 0.0241133 0.0385829 31.555
331 0.043019 0.0473492 31.6956
332 0.0802569 0.0839822 31.9101
333 0.0422806 0.0543079 32.0569
334 0.0334255 0.040092 32.1805
335 0.0319454 0.0441719 32.3068
336 0.028978 0.0440305 32.43
337 0.0356723 0.0500236 32.5661
338 0.027001 0.0420706 32.6853
339 0.0331021 0.0461473 32.8148
340 0.0332438 0.0436956 32.9421
341 0.0249109 0.0401703 33.0574
342 0.0335653 0.0414335 33.1828
343 0.0329034 0.0456408 33.3115
344 0.0330068 0.0365529 33.4313
345 0.0342636 0.0383721 33.5541
346 0.0307749 0.0491528 33.6843
347 0.0403881 0.0436546 33.8185
348 0.0418665 0.042538 33.9531
349 0.0385777 0.0430058 34.0849
350 0.034475 0.0494318 34.219
351 0.0402953 0.0433321 34.3529
352 0.0322277 0.0510935 34.4866
353 0.0306959 0.0403566 34.6078
354 0.0343616 0.0395164 34.7321
355 0.0277785 0.0404483 34.8507
356 0.0285429 0.0391914 34.9688
357 0.037272 0.0397594 35.0962
358 0.0287174 0.0408874 35.216
359 0.029547 0.0381367 35.334
360 0.0373641 0.0806796 35.5022
361 0.0463366 0.0488958 35.6477
362 0.0320528 0.0387345 35.7687
363 0.0317748 0.040236 35.891
364 0.0332316 0.0398176 36.0143
365 0.0346421 0.0425953 36.1419
366 0.0355234 0.0504106 36.2782
367 0.0297386 0.0383543 36.3967
368 0.0305675 0.0383404 36.516
369 0.0293221 0.0396669 36.6352
370 0.0302837 0.0400735 36.7558
371 0.029317 0.0420627 36.8773
372 0.0303204 0.0384891 36.9965
373 0.0303386 0.0394969 37.1167
374 0.0301024 0.0425095 37.2396
375 0.0511599 0.038638 37.3797
376 0.0320396 0.0392909 37.5014
377 0.0317191 0.0409238 37.6244
378 0.0321006 0.0404568 37.7473
379 0.0298448 0.0385291 37.866
380 0.0298905 0.0399792 37.9862
381 0.0302975 0.0415929 38.1085
382 0.0510995 0.039404 38.2494
383 0.0300162 0.0433118 38.3731
384 0.0288953 0.0479782 38.5004
385 0.0305398 0.0401884 38.6213
386 0.0293893 0.0450612 38.7461
387 0.0405032 0.0424911 38.8793
388 0.0309205 0.0389826 38.9996
389 0.0305462 0.0393934 39.12
390 0.0311381 0.0458592 39.2473
391 0.0304698 0.0399415 39.368
392 0.0307013 0.0417691 39.4908
393 0.0453985 0.0423578 39.6288
394 0.0323468 0.0420976 39.7534
395 0.030758 0.0416857 39.8762
396 0.0315326 0.0398019 39.9977
397 0.0309663 0.0393471 40.1185
398 0.031111 0.0425826 40.2424
399 0.0327829 0.0405244 40.366
400 0.0448207 0.0403952 40.5016
401 0.0344176 0.0427346 40.6289
