TimeStep Temps_Avancement Temps_Affichage Temps_Simulation
1 0.0001948 0.169408 0.221169
2 8.17e-05 0.0469641 0.318424
3 6.18e-05 0.487003 0.855811
4 8.07e-05 0.0279145 0.935382
5 9.15e-05 0.0309033 1.01665
6 0.000149 0.0433283 1.11029
7 0.0001413 0.0345142 1.19515
8 8.32e-05 0.0393596 1.28479
9 6.11e-05 0.0503511 1.38554
10 0.0001431 0.0520069 1.48792
11 0.000125 0.0401975 1.57854
12 9.65e-05 0.0253589 1.6542
13 0.0001219 0.0290293 1.7336
14 0.0003052 0.041401 1.82569
15 0.0001384 0.0297089 1.90605
16 0.0001621 0.0266547 1.98319
17 0.0001737 0.0309085 2.06461
18 0.0001328 0.0313431 2.1465
19 0.0001506 0.0251401 2.22196
20 0.0001489 0.0249918 2.29751
21 0.0001534 0.0276873 2.37568
22 0.0001776 0.0300706 2.45612
23 0.000146 0.0266409 2.53326
24 0.000196 0.028261 2.6119
25 0.0002035 0.0318296 2.69417
26 0.0001747 0.02585 2.77037
27 0.0002522 0.0278789 2.84874
28 0.000234 0.029059 2.92823
29 0.0001801 0.045754 3.02431
30 0.0001891 0.0364438 3.11121
31 0.0002555 0.0327173 3.19448
32 0.0003656 0.0403208 3.28544
33 0.0002674 0.0365172 3.37241
34 0.0003295 0.0322599 3.45526
35 0.0003127 0.0259708 3.53191
36 0.0002589 0.0261439 3.60872
37 0.0002645 0.0270954 3.68637
38 0.0002892 0.0298915 3.76691
39 0.0002814 0.031098 3.84852
40 0.0002903 0.0316475 3.93068
41 0.0006132 0.0424505 4.02397
42 0.0004288 0.037054 4.11177
43 0.0003295 0.0255031 4.1878
44 0.0003943 0.0360181 4.2746
45 0.0003476 0.0267631 4.35189
46 0.0004061 0.0317788 4.43448
47 0.0004241 0.0349355 4.52002
48 0.0005136 0.0361339 4.60689
49 0.0004051 0.0252373 4.68287
50 0.000534599 0.03469 4.76825
51 0.000392199 0.0302873 4.8491
52 0.000453 0.0329478 4.93281
53 0.0004591 0.0336255 5.01723
54 0.0005077 0.0330243 5.10112
55 0.000614899 0.0271522 5.17917
56 0.0004547 0.0250877 5.25488
57 0.0007133 0.102239 5.45757
58 0.0007948 0.118924 5.62747
59 0.0005654 0.0901774 5.85757
60 0.0012931 0.0962432 6.00536
61 0.0016415 0.0676611 6.12495
62 0.0006883 0.040966 6.21692
63 0.0006388 0.0346993 6.3024
64 0.0007992 0.044907 6.39847
65 0.000599 0.0344961 6.48381
66 0.0007291 0.0346089 6.56954
67 0.000956299 0.037861 6.65868
68 0.0007374 0.0355672 6.74528
69 0.0007902 0.0423332 6.83862
70 0.0020402 0.0761213 6.96701
71 0.0007495 0.0561859 7.07412
72 0.0008419 0.0407306 7.16586
73 0.0008411 0.0324399 7.24939
74 0.0007645 0.0336557 7.33414
75 0.0008867 0.0390122 7.42441
76 0.0009518 0.0372719 7.5128
77 0.0009003 0.0312193 7.59527
78 0.0009136 0.0454058 7.69177
79 0.0012449 0.0350789 7.77827
80 0.0008547 0.0341978 7.86348
81 0.0009004 0.0341074 7.94877
82 0.0009089 0.0345679 8.03463
83 0.0008732 0.0448639 8.1306
84 0.0012806 0.0614331 8.24352
