TimeStep Temps_Update Temps_Display Temps_Total
167 0.00321643 0.00525796 17.8171
168 0.0034476 0.00556838 17.9229
169 0.00365956 0.00537611 18.0285
170 0.0035165 0.00524506 18.134
171 0.00326702 0.00564574 18.2399
172 0.00367911 0.00565421 18.3457
173 0.00365938 0.00555213 18.4515
174 0.00361931 0.00562097 18.5574
175 0.00326789 0.00561054 18.6632
176 0.00353571 0.00543909 18.7689
177 0.00343491 0.0052629 18.8744
178 0.0032086 0.0056264 18.9803
179 0.00353849 0.00557787 19.0861
180 0.0034052 0.0054519 19.1918
181 0.00340147 0.00546174 19.2975
182 0.00327218 0.00528986 19.403
183 0.00319232 0.00547911 19.5087
184 0.00323222 0.00545603 19.6144
185 0.00346424 0.00546316 19.7201
186 0.00299045 0.00550376 19.8258
187 0.0032989 0.00543539 19.9315
188 0.00309398 0.00535412 20.0371
189 0.00310432 0.00542447 20.1427
190 0.00322674 0.00533399 20.2483
191 0.00299725 0.00550405 20.354
192 0.00323778 0.00553947 20.4598
193 0.00318454 0.00541636 20.5655
194 0.00315359 0.00532736 20.671
195 0.0029227 0.00533929 20.7766
196 0.00301185 0.00553672 20.8824
197 0.00303192 0.0054175 20.988
198 0.00302885 0.0053506 21.0936
199 0.00287664 0.00552202 21.1994
200 0.00305506 0.0054278 21.305
201 0.00286541 0.00556237 21.4108
202 0.00305075 0.00554098 21.5166
203 0.00295232 0.00548896 21.6223
204 0.00302168 0.00528834 21.7279
205 0.00253178 0.00537012 21.8335
206 0.00279366 0.00520259 21.9389
207 0.00265776 0.00560386 22.0448
208 0.00292424 0.00549306 22.1505
209 0.00310801 0.00563215 22.2564
210 0.00296329 0.00543412 22.3621
211 0.0026329 0.00545211 22.4677
212 0.00274619 0.00539213 22.5734
213 0.00273907 0.00542445 22.679
214 0.00225214 0.005411 22.7847
215 0.00266298 0.00531592 22.8902
216 0.00248497 0.00541983 22.9958
217 0.00259328 0.00537927 23.1014
218 0.00247803 0.00544179 23.2071
219 0.00255802 0.00545271 23.3128
220 0.00226143 0.00542231 23.4185
221 0.00250918 0.00541708 23.5241
222 0.00254163 0.00547368 23.6298
223 0.00247705 0.00561714 23.7357
224 0.0026825 0.00555094 23.8415
225 0.00258992 0.00542212 23.9471
226 0.00233042 0.0054026 24.0527
227 0.00240222 0.00533694 24.1583
228 0.00224822 0.00562212 24.2642
229 0.00254277 0.00541314 24.3698
230 0.00242112 0.00552797 24.4756
231 0.00241229 0.00545138 24.5812
232 0.00238553 0.00557164 24.687
233 0.00239897 0.00549718 24.7928
234 0.00239678 0.0054448 24.8984
235 0.00229879 0.00542315 25.0041
236 0.00212988 0.00541794 25.1098
237 0.00196097 0.00547935 25.2155
238 0.00214593 0.00540694 25.3211
239 0.00178978 0.00536938 25.4267
240 0.00220262 0.00534402 25.5323
241 0.00201449 0.00537286 25.6379
242 0.00209809 0.00538894 25.7435
243 0.00193555 0.00549941 25.8492
244 0.00179827 0.00535511 25.9548
245 0.00217756 0.00541571 26.0606
246 0.00203018 0.00540763 26.1662
247 0.00207259 0.00544628 26.2719
248 0.00155569 0.00540903 26.3775
249 0.00162451 0.00532053 26.4831
250 0.00161406 0.00542749 26.5888
251 0.00192001 0.00587184 26.6949
252 0.00226234 0.00551367 26.8006
253 0.00210318 0.00566736 26.9065
254 0.00209936 0.00560123 27.0124
255 0.00197046 0.00554174 27.1181
256 0.00217388 0.00564257 27.224
257 0.00201572 0.00570236 27.3299
258 0.00192931 0.00559655 27.4357
259 0.00198714 0.00538313 27.5414
260 0.00169632 0.00537976 27.647
261 0.00168492 0.00541381 27.7526
262 0.0016096 0.00543717 27.8583
263 0.00169902 0.00538526 27.9639
264 0.00155154 0.00543945 28.0696
265 0.00145347 0.00538204 28.1752
266 0.00146568 0.00548267 28.2809
267 0.00163023 0.00586596 28.387
268 0.00206763 0.00578018 28.493
269 0.00196981 0.00554416 28.5988
270 0.0016913 0.00562366 28.7047
271 0.00168155 0.00556417 28.8105
272 0.00172068 0.00567102 28.9164
273 0.00170568 0.00569333 29.0223
274 0.00166502 0.00553357 29.1281
275 0.00161876 0.00564187 29.234
276 0.00159752 0.00570533 29.3399
277 0.0013236 0.0056918 29.4458
278 0.00190943 0.00556905 29.5516
279 0.00144516 0.00570238 29.6576
280 0.00150484 0.0054686 29.7633
281 0.00138609 0.00569518 29.8692
282 0.00154048 0.00560914 29.975
283 0.00115333 0.00551806 30.0808
284 0.00137359 0.00572224 30.1867
285 0.00102807 0.00560448 30.2926
286 0.00130677 0.00555452 30.3984
287 0.00132653 0.00563888 30.5042
288 0.0013635 0.00568926 30.6102
289 0.00127295 0.00568536 30.7161
290 0.000990802 0.00565762 30.822
291 0.00127438 0.00567775 30.9279
292 0.00124714 0.00551158 31.0336
293 0.00117713 0.00564464 31.1395
294 0.00123306 0.00565983 31.2454
295 0.00110315 0.00554829 31.3512
296 0.00110584 0.00566265 31.4571
297 0.00116662 0.0057321 31.5631
298 0.00107061 0.00554229 31.6689
299 0.0010648 0.00568492 31.7748
300 0.00110976 0.0058124 31.8808
301 0.00115141 0.00580991 31.9869
302 0.00126143 0.00568838 32.0928
303 0.00109654 0.00579944 32.1988
304 0.00112532 0.00611028 32.3052
305 0.00139377 0.00593668 32.4114
306 0.00122925 0.00572484 32.5174
307 0.000990521 0.00571864 32.6233
308 0.000861769 0.00582458 32.7294
309 0.000926381 0.00569922 32.8354
310 0.000746372 0.00574775 32.9414
311 0.000947851 0.00581145 33.0474
312 0.000543712 0.00577056 33.1534
313 0.000841792 0.00582131 33.2595
314 0.00079807 0.00578215 33.3655
315 0.000906693 0.00565929 33.4714
316 0.000708371 0.00572463 33.5773
317 0.000430639 0.00574449 33.6833
318 0.000688974 0.00575057 33.7893
319 0.0005429 0.00563202 33.8952
320 0.000571103 0.0056064 34.001
321 0.000530707 0.00583369 34.1071
322 0.000636617 0.00548013 34.2128
323 0.000394832 0.00590965 34.319
324 0.00072915 0.00570114 34.4249
325 0.000479992 0.00597334 34.5311
326 0.000711948 0.00555806 34.6369
327 9.5159e-05 0.00581597 34.743
328 0.000622369 0.00589648 34.8491
329 0.000660211 0.00590741 34.9553
330 0.000671312 0.0057927 35.0613
331 0.000469142 0.00598067 35.1676
332 0.000547068 0.00549564 35.2733
333 0.000112792 0.00571271 35.3793
334 0.000109245 0.00571428 35.4853
335 0.000323107 0.00550958 35.591
336 9.5169e-05 0.00596929 35.6976
337 0.000503086 0.00596037 35.8038
338 0.000104016 0.00688248 35.911
339 0.00132887 0.0064169 36.0176
340 0.000837173 0.00638527 36.1242
341 0.000814211 0.00554385 36.23
342 9.1242e-05 0.00594233 36.3364
343 0.000228018 0.00590736 36.4425
344 0.000272182 0.00599887 36.5488
345 0.000424858 0.00565666 36.6547
346 8.8676e-05 0.0062497 36.7612
347 0.000320111 0.0062364 36.8677
348 0.000587775 0.00646932 36.9744
349 0.000596641 0.00643059 37.081
350 0.000654981 0.00647759 37.1877
351 0.000609155 0.00640641 37.2944
352 0.000647707 0.00632932 37.4009
353 0.000399681 0.00568166 37.5069
354 9.6441e-05 0.00570735 37.6131
355 9.6481e-05 0.00580793 37.7195
356 9.4869e-05 0.00580927 37.8258
357 9.4548e-05 0.00578166 37.932
358 9.7513e-05 0.00556043 38.038
359 9.558e-05 0.00571281 38.1445
360 9.8635e-05 0.00575225 38.2509
361 0.000103274 0.00577988 38.3574
362 9.7734e-05 0.00558693 38.4636
363 0.000105719 0.00571327 38.5702
364 9.6271e-05 0.00555745 38.6765
365 0.000111409 0.00554621 38.7831
366 9.5199e-05 0.00573085 38.8899
367 0.000101501 0.00573677 38.9964
368 9.7143e-05 0.0055627 39.1028
369 9.8786e-05 0.00571098 39.2096
370 9.3867e-05 0.00571517 39.316
371 0.000458933 0.00555594 39.4235
372 0.000110277 0.00572703 39.5306
373 0.000124644 0.0057685 39.6373
374 0.000110738 0.00558001 39.7439
375 0.000114976 0.00571085 39.8507
376 0.000110277 0.00570295 39.9574
377 0.000112963 0.00571946 40.0642
378 0.000109707 0.0056192 40.1708
379 0.000111409 0.00614028 40.2782
380 0.000118122 0.00594118 40.385
381 0.000118253 0.00572854 40.4916
382 0.000119505 0.00576505 40.5986
383 0.000116479 0.00554222 40.7054
384 0.000116329 0.00560329 40.8125
385 0.000116398 0.00573034 40.9196
386 0.000119545 0.00574096 41.0266
387 0.000126287 0.005716 41.1338
388 0.000120586 0.00573801 41.2409
389 0.000120025 0.00567789 41.3481
390 0.000132359 0.00570182 41.4553
391 0.000127029 0.00569923 41.5626
392 0.000129974 0.00572171 41.6703
393 0.000119796 0.00562996 41.7774
394 0.000115898 0.00565596 41.8845
395 0.000118733 0.00544782 41.9917
396 0.000126397 0.00552421 42.0991
397 0.000117992 0.00559125 42.2069
398 0.000119164 0.00587211 42.3146
399 0.000124715 0.00575608 42.4219
400 0.00012264 0.0058829 42.5311
401 0.000125756 0.00569369 42.6384
402 0.000134112 0.00592114 42.7465
403 0.000126387 0.0056329 42.8543
404 0.000138901 0.00590224 42.9626
405 0.000129323 0.00557092 43.07
